iter	Logloss
0	0.6160811554
1	0.55902563
2	0.5126543998
3	0.4771560226
4	0.4502265976
5	0.4289913011
6	0.4129640872
7	0.4000959388
8	0.3900554595
9	0.3810266337
10	0.3752451648
11	0.3701999366
12	0.3663795448
13	0.3630114785
14	0.3608514186
15	0.358448074
16	0.3565377068
17	0.3551962221
18	0.3535258279
19	0.3523070646
20	0.3513929578
21	0.3507437731
22	0.3498241842
23	0.3493783794
24	0.3489586023
25	0.3486679519
26	0.3482367966
27	0.3478996229
28	0.3474783308
29	0.3472708403
30	0.3470989494
31	0.3467590014
32	0.3466518279
33	0.3465256768
34	0.3463404093
35	0.3461760085
36	0.3460404779
37	0.3457834628
38	0.3455970663
39	0.3454892411
40	0.3453607931
41	0.3452609008
42	0.3451793007
43	0.3449720608
44	0.344811181
45	0.3447206587
46	0.3446544576
47	0.3445789505
48	0.3445015416
49	0.3444529682
50	0.3444002781
51	0.3443381282
52	0.3443089347
53	0.3442489221
54	0.3442188129
55	0.3441792089
56	0.3441003471
57	0.3440161937
58	0.3438668115
59	0.3438105322
60	0.3437758389
61	0.343696241
62	0.3436590855
63	0.3436313072
64	0.3436252672
65	0.3436092469
66	0.3435598276
67	0.3435445989
68	0.3434869878
69	0.3434680613
70	0.3434425439
71	0.3433933403
72	0.3433768485
73	0.3433058003
74	0.3432590849
75	0.3431608413
76	0.3431350123
77	0.3431001341
78	0.3430666569
79	0.3430359729
80	0.3429578533
81	0.3429270469
82	0.3428774091
83	0.3428573402
84	0.3428305887
85	0.3427819955
86	0.3427391
87	0.3427092692
88	0.3426784661
89	0.3426700622
90	0.3426335871
91	0.3425989269
92	0.342584563
93	0.3425612821
94	0.3425232035
95	0.3424911266
96	0.3424540086
97	0.3424242819
98	0.3423891088
99	0.3423767015
100	0.3423451804
101	0.3423208014
102	0.3423118342
103	0.3422970671
104	0.3422763221
105	0.342248518
106	0.3422182905
107	0.3421786827
108	0.3421627704
109	0.3421456163
110	0.3421456158
111	0.3421182638
112	0.3420902484
113	0.3420701372
114	0.3420648106
115	0.342049166
116	0.3420367181
117	0.3419924488
118	0.3419902969
119	0.3419504661
120	0.3419149206
121	0.3419084155
122	0.3418790326
123	0.3418584766
124	0.3418360319
125	0.3418237917
126	0.3417649294
127	0.3417502396
128	0.3417118345
129	0.3416960021
130	0.3416815711
131	0.3416479379
132	0.3416115154
133	0.3416014172
134	0.341582019
135	0.3415496842
136	0.3415359961
137	0.3415091678
138	0.3414900128
139	0.3414835152
140	0.3414255326
141	0.3413882468
142	0.3413745664
143	0.3413378496
144	0.3413088268
145	0.3412817006
146	0.3412539919
147	0.3412327062
148	0.3412151147
149	0.3411828258
150	0.3411607454
151	0.3411509834
152	0.34112226
153	0.3410919674
154	0.3410693248
155	0.3410442219
156	0.3410052577
157	0.3409700512
158	0.3409626617
159	0.3409453314
160	0.3409178448
161	0.3408895233
162	0.3408582637
163	0.3408372006
164	0.3408293866
165	0.3408160076
166	0.3407955025
167	0.3407396775
168	0.3407117053
169	0.3407054144
170	0.340685945
171	0.3406719602
172	0.3406479072
173	0.340630334
174	0.3406168651
175	0.340573535
176	0.3405548517
177	0.3405358904
178	0.340523694
179	0.3405121401
180	0.3404975062
181	0.3404629797
182	0.3404210537
183	0.340414638
184	0.340401362
185	0.340388667
186	0.3403606781
187	0.3403395811
188	0.3403316734
189	0.3403157542
190	0.3403072109
191	0.3402994114
192	0.3402834498
193	0.3402683075
194	0.3402517043
195	0.3402239714
196	0.3402061088
197	0.3401788123
198	0.3401607105
199	0.3401234599
200	0.3401082422
201	0.3401052665
202	0.3400905798
203	0.340064783
204	0.3400423424
205	0.34002677
206	0.3400092304
207	0.3400006795
208	0.3399903048
209	0.3399432176
210	0.3398954842
211	0.3398810389
212	0.3398714334
213	0.3398679366
214	0.339856723
215	0.3398324599
216	0.3397981734
217	0.3397849609
218	0.3397812672
219	0.3397714784
220	0.3397366698
